(start time: 0, end time: 2944, frequency: 110.0, amplitude: 60185.18823147155, pwm: 0.5, is_kick: True)
(start time: 2944, end time: 11008, frequency: 110.0, amplitude: 19641.287010461703, pwm: 0.5, is_kick: True)
(start time: 11008, end time: 22017, frequency: 7040.0, amplitude: 13021.965914032073, pwm: 0.5, is_kick: True)
(start time: 22017, end time: 24962, frequency: 110.0, amplitude: 53533.49023799825, pwm: 0.5, is_kick: True)
(start time: 24962, end time: 32898, frequency: 110.0, amplitude: 17294.384312419126, pwm: 0.5, is_kick: True)
(start time: 32898, end time: 44164, frequency: 7040.0, amplitude: 63135.287040091855, pwm: 0.5, is_kick: True)
(start time: 44164, end time: 52100, frequency: 110.0, amplitude: 60573.34738092366, pwm: 0.5, is_kick: True)
(start time: 52100, end time: 55044, frequency: 110.0, amplitude: 4057.3584490277017, pwm: 0.5, is_kick: True)
(start time: 55044, end time: 66053, frequency: 7040.0, amplitude: 15039.212866769663, pwm: 0.5, is_kick: True)
(start time: 66053, end time: 77191, frequency: 110.0, amplitude: 59765.128454244536, pwm: 0.5, is_kick: True)
(start time: 77191, end time: 82823, frequency: 110.0, amplitude: 60238.762589549384, pwm: 0.5, is_kick: True)
(start time: 82823, end time: 88328, frequency: 110.0, amplitude: 59150.37113668629, pwm: 0.5, is_kick: True)
(start time: 88328, end time: 92936, frequency: 110.0, amplitude: 59670.715794937045, pwm: 0.5, is_kick: True)
(start time: 92936, end time: 99208, frequency: 110.0, amplitude: 12243.406765151101, pwm: 0.5, is_kick: True)
(start time: 99208, end time: 110217, frequency: 7040.0, amplitude: 12931.143675942243, pwm: 0.5, is_kick: True)
(start time: 110217, end time: 113162, frequency: 110.0, amplitude: 53782.81824201849, pwm: 0.5, is_kick: True)
(start time: 113162, end time: 121098, frequency: 110.0, amplitude: 17574.284523250077, pwm: 0.5, is_kick: True)
(start time: 121098, end time: 132364, frequency: 7040.0, amplitude: 63210.69585811366, pwm: 0.5, is_kick: True)
(start time: 132364, end time: 140044, frequency: 110.0, amplitude: 59567.306905851794, pwm: 0.5, is_kick: True)
(start time: 140044, end time: 143244, frequency: 110.0, amplitude: 3251.611132944247, pwm: 0.5, is_kick: True)
(start time: 143244, end time: 148877, frequency: 7040.0, amplitude: 48082.20426989054, pwm: 0.5, is_kick: True)
(start time: 148877, end time: 165262, frequency: 7040.0, amplitude: 46606.74206433305, pwm: 0.5, is_kick: True)
(start time: 165262, end time: 170895, frequency: 7040.0, amplitude: 63027.44316512547, pwm: 0.5, is_kick: True)
(start time: 170895, end time: 179344, frequency: 110.0, amplitude: 101095.45637627605, pwm: 0.5, is_kick: True)
(start time: 179344, end time: 182288, frequency: 110.0, amplitude: 19498.021567635144, pwm: 0.5, is_kick: True)
(start time: 182288, end time: 187408, frequency: 110.0, amplitude: 4544.763630909862, pwm: 0.5, is_kick: True)
(start time: 187408, end time: 198417, frequency: 7040.0, amplitude: 13067.792582631564, pwm: 0.5, is_kick: True)
(start time: 198417, end time: 201362, frequency: 110.0, amplitude: 53877.27701887527, pwm: 0.5, is_kick: True)
(start time: 201362, end time: 209426, frequency: 110.0, amplitude: 17477.218427621545, pwm: 0.5, is_kick: True)
(start time: 209426, end time: 220564, frequency: 7040.0, amplitude: 63564.51150212395, pwm: 0.5, is_kick: True)
(start time: 220564, end time: 228244, frequency: 110.0, amplitude: 59852.00972249871, pwm: 0.5, is_kick: True)
(start time: 228244, end time: 231444, frequency: 110.0, amplitude: 3280.536541521545, pwm: 0.5, is_kick: True)
(start time: 231444, end time: 242453, frequency: 7040.0, amplitude: 15048.37468003972, pwm: 0.5, is_kick: True)
(start time: 242453, end time: 253591, frequency: 110.0, amplitude: 59571.75226032312, pwm: 0.5, is_kick: True)
(start time: 253591, end time: 259223, frequency: 110.0, amplitude: 62443.5122438131, pwm: 0.5, is_kick: True)
(start time: 259223, end time: 264728, frequency: 110.0, amplitude: 59321.56422008031, pwm: 0.5, is_kick: True)
(start time: 264728, end time: 270872, frequency: 110.0, amplitude: 62131.127741405, pwm: 0.5, is_kick: True)
(start time: 270872, end time: 275480, frequency: 110.0, amplitude: 3971.1675350168257, pwm: 0.5, is_kick: True)
(start time: 275480, end time: 286617, frequency: 7040.0, amplitude: 12944.244467978064, pwm: 0.5, is_kick: True)
(start time: 286617, end time: 289562, frequency: 110.0, amplitude: 54047.3666601634, pwm: 0.5, is_kick: True)
(start time: 289562, end time: 297626, frequency: 110.0, amplitude: 17656.01727978423, pwm: 0.5, is_kick: True)
(start time: 297626, end time: 308764, frequency: 7040.0, amplitude: 63580.10600880457, pwm: 0.5, is_kick: True)
(start time: 308764, end time: 316444, frequency: 110.0, amplitude: 60464.78124118518, pwm: 0.5, is_kick: True)
(start time: 316444, end time: 319644, frequency: 110.0, amplitude: 3155.8108707363244, pwm: 0.5, is_kick: True)
(start time: 319644, end time: 325149, frequency: 7040.0, amplitude: 11510.200214588165, pwm: 0.5, is_kick: True)
(start time: 325149, end time: 341662, frequency: 7040.0, amplitude: 11047.880265131658, pwm: 0.5, is_kick: True)
(start time: 341662, end time: 347295, frequency: 7040.0, amplitude: 14280.881144879471, pwm: 0.5, is_kick: True)
